area,area_rank,box_family_density,box_id,box_pair_agree,cluster_echo_count,col,col_path_min,col_path_span,col_proximity_score,col_rank,cols_hit,dr.win_drop_digit,dr.win_drop_exact,dr.win_drop_vtrac,dr.win_exact,dr.win_family_exact,dr.win_family_vtrac,dr.win_final_value,dr.win_step_drop_exact,dr.win_step_drop_vtrac,dr.win_step_exact,dr.win_step_family_exact,dr.win_step_family_vtrac,dr.win_step_vtrac,dr.win_variant,dr.win_vt_boxed,dr.win_vt_straight,dr.win_vtrac,dr.win_vtrac_local_index,draw,draw_rank,drop_digit,drop_digit_mode,drop_digit_mode_stability,drop_run_len,dup_bonus,dup_bonus_raw,earliest_drop_exact_step,earliest_drop_vtrac_step,earliest_exact_step,earliest_family_exact_step,earliest_family_vtrac_step,earliest_vtrac_step,family_id,family_unique,features_json,final_drop_exact_match,final_drop_vtrac_match,final_exact_match,final_family_exact_match,final_family_vtrac_match,final_linear,final_prob,final_value,final_vtrac_match,funnel_precol1,is_extended_cluster,lock_decision,lock_reason,lockscore_decision,lockscore_prob,lockscore_v2,ls2_lane,ls2_progress,ls_col_42,method,method_consensus,mode,pattern,persistence_drop_exact,persistence_drop_vtrac,persistence_exact,persistence_exact_score,persistence_family_exact,persistence_family_vtrac,persistence_vtrac,persistence_vtrac_score,recency_carryover,residual_purity,score,score_raw,score_v2,section,section_rank,set,set1_terminal,set_echo_count,set_min_rank,set_progress,set_proximity_score,set_rank,state,variant,variant_echo_count,variants_hit,vt_only_lane,vtrac.hot_source,vtrac.set,vtrac.v_hot,vtrac_key
LS1,1,0.5,592241133877,1,1,7,7,0,0.14285714285714285,7,1,,0,1,0,0,0,,-1,0,-1,-1,-1,-1,Midday,0,0,0,-1,Draw1,1,2,1,2,2,1.0,2,1,1,1,1,1,1,259,259,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""4"", 1], [""1"", 2], [""3"", 2], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""4"", 1], [""1"", 2], [""3"", 2], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""8"", 1, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.25, 0.25, 0.25, 0.25, 0.5], ""family_runs"": [2, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.955,0.6692954027774461,,0,0,False,,score>=lock,lock,1.0,2.613726,0,0.0,0,T,6,own,592,1,1,1,1.0,1,1,1,1.0,0,0,0.8887264716216705,5.663333333333331,6.370476,Midday,1,Set3,0,1,3,1,0.3333333333333333,3,NewYork4,Midday,1,1,0,none,135,0.0,135
LS1,1,0.5,592241133877,1,1,7,7,0,0.14285714285714285,7,1,,0,1,0,0,0,,-1,0,-1,-1,-1,-1,Midday,0,0,0,-1,Draw1,1,2,1,2,2,1.0,2,1,1,1,1,1,1,259,259,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""4"", 1], [""1"", 2], [""3"", 2], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""4"", 1], [""1"", 2], [""3"", 2], [""8"", 1], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""5"", 1, 1], [""9"", 1, 1], [""2"", 2, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""8"", 1, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""9"", 1, 4], [""4"", 1, 4]], ""family_mass"": [0.3333333333333333, 0.25, 0.5, 0.5], ""family_runs"": [2, 1, 1, 1]}",0,0,0,0,0,0.855,0.6467993925579857,,0,0,False,,score>=lock,lock,1.0,2.613726,0,0.0,0,T,6,combined,592,1,1,1,1.0,1,1,1,1.0,0,0,0.8887264716216705,5.663333333333331,6.370476,Midday,1,Set3,0,1,3,1,0.3333333333333333,3,NewYork4,Midday,1,1,0,none,135,0.0,135
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 2, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.666667,0.6026853379784918,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,A,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 2, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""3"", 2, 3], [""7"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6], [""1"", 2, 6], [""9"", 1, 7], [""4"", 1, 7], [""1"", 2, 7], [""9"", 1, 8], [""4"", 1, 8], [""1"", 2, 8], [""9"", 1, 9], [""4"", 1, 9], [""9"", 1, 10], [""4"", 1, 10]], ""family_mass"": [0.3333333333333333, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.566667,0.5785116791685817,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,A,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,1,2,2,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.666667,0.6026853379784918,,0,0,False,,score>=lock,lock,1.0,2.97677,0,0.0,0,B,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9267703434510202,6.539999999999999,7.247143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,1,2,2,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 5], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""9"", 1, 4], [""4"", 1, 4]], ""family_mass"": [0.3333333333333333, 0.3333333333333333, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1]}",0,0,0,0,0,0.566667,0.5785116791685817,,0,0,False,,score>=lock,lock,1.0,2.97677,0,0.0,0,B,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9267703434510202,6.539999999999999,7.247143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,1,2,2,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.666667,0.6026853379784918,,0,0,False,,score>=lock,lock,1.0,2.97677,0,0.0,0,C,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9267703434510202,6.539999999999999,7.247143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,3,1,2,2,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""9"", 1, 4], [""4"", 1, 4]], ""family_mass"": [0.3333333333333333, 0.5, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1]}",0,0,0,0,0,0.566667,0.5785116791685817,,0,0,False,,score>=lock,lock,1.0,2.97677,0,0.0,0,C,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9267703434510202,6.539999999999999,7.247143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 1, 2], [""7"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.666667,0.6026853379784918,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,D,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 1, 2], [""7"", 1, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 1, 3], [""3"", 1, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 1, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 1, 5], [""9"", 1, 9], [""4"", 1, 9], [""9"", 1, 10], [""4"", 1, 10]], ""family_mass"": [0.3333333333333333, 0.3333333333333333, 0.5, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.566667,0.5785116791685817,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,D,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 1, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 2, 3], [""7"", 1, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 2, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 2, 5], [""9"", 1, 6], [""4"", 1, 6]], ""family_mass"": [0.3333333333333333, 0.2857142857142857, 0.4, 0.5, 0.5, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.666667,0.6026853379784918,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,E,6,own,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
LS1,1,1.0,924113377,1,3,6,6,1,0.2857142857142857,6,1,,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,,0,0,0,-1,Draw1,1,2,1,2,1,0.0,1,1,1,1,1,1,1,249,249,"{""cluster_lengths"": [3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3], ""detections"": {""drop_exact"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""drop_vtrac"": {""drop_records"": [[""1"", 2], [""3"", 2], [""7"", 2]], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_exact"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""family_vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}, ""vtrac"": {""drop_records"": [], ""earliest"": 1, ""final_match"": false, ""steps"": [1]}}, ""drop_records"": [[""9"", 1, 1], [""2"", 1, 1], [""4"", 1, 1], [""1"", 2, 1], [""3"", 2, 1], [""7"", 2, 1], [""9"", 1, 2], [""4"", 1, 2], [""1"", 2, 2], [""3"", 1, 2], [""7"", 2, 2], [""9"", 1, 3], [""4"", 1, 3], [""1"", 1, 3], [""3"", 1, 3], [""7"", 1, 3], [""9"", 1, 4], [""4"", 1, 4], [""1"", 1, 4], [""9"", 1, 5], [""4"", 1, 5], [""1"", 1, 5], [""9"", 1, 9], [""4"", 1, 9], [""9"", 1, 10], [""4"", 1, 10]], ""family_mass"": [0.3333333333333333, 0.2857142857142857, 0.4, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0], ""family_runs"": [1, 1, 1, 1, 1, 1, 1]}",0,0,0,0,0,0.566667,0.5785116791685817,,0,0,False,,score>=lock,lock,1.0,2.967423,0,0.0,0,E,6,combined,924,1,1,1,1.0,1,1,1,1.0,0,0,0.9174225103797897,6.289999999999999,6.997143,Midday,1,Set3,0,2,1,3,1.0,3,NewYork4,Midday,1,1,0,none,35,0.0,35
